LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S2057",1.000000,414.000000,3,"West","Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119
"Cell_S2058",1.000000,15.000000,1,"West","Clementi",103.762500,1.293059
"Cell_S2059",1.000000,119.000000,1,"West","Clementi",103.761602,1.328376
"Cell_S206",0.884615,100.846154,26,"Central","Raffles Place",103.851809,1.282673
"Cell_S2060",1.000000,11.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.800998,1.272301
"Cell_S2061",0.947368,120.684211,19,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S2062",1.000000,50.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.790015,1.297991
"Cell_S2063",1.000000,45.000000,3,"West","Clementi",103.760867,1.312517
"Cell_S2064",1.000000,58.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.780875,1.299653
"Cell_S2065",1.000000,9.000000,1,"West","Clementi",103.765773,1.298470
"Cell_S2066",1.000000,89.000000,1,"West","Clementi",103.751991,1.310324
"Cell_S2067",1.000000,59.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.774551,1.283247
"Cell_S2068",1.000000,50.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.774551,1.283247
"Cell_S2069",1.000000,68.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.777455,1.291773
"Cell_S207",1.000000,96.928571,28,"Central","Robinson Road Shenton Way",103.848773,1.279862
"Cell_S2070",1.000000,171.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S2071",1.000000,79.000000,4,"West","Clementi",103.771879,1.324898
"Cell_S2072",1.000000,142.500000,2,"West","Clementi",103.770893,1.318018
"Cell_S2073",1.000000,95.666667,3,"West","Dover Buona Vista Singapore Polytechnic",103.786355,1.296146
"Cell_S2074",1.000000,55.500000,2,"West","Clementi",103.761602,1.328376
"Cell_S2075",1.000000,35.000000,2,"West","Dover Buona Vista Singapore Polytechnic",103.791215,1.303943
"Cell_S2076",1.000000,26.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.783527,1.306687
"Cell_S2077",1.000000,60.444444,9,"West","Dover Buona Vista Singapore Polytechnic",103.790015,1.297991
"Cell_S2078",0.923077,112.923077,13,"West","Pasir Panjang Alexandra Kent Ridge",103.801279,1.273622
"Cell_S2079",1.000000,160.800000,5,"West","Pasir Panjang Alexandra Kent Ridge",103.776715,1.294039
"Cell_S208",1.000000,362.400000,5,"Central","Marina South",103.854157,1.279430
"Cell_S2080",1.000000,247.600000,5,"West","Pasir Panjang Alexandra Kent Ridge",103.784087,1.286552
"Cell_S2081",1.000000,92.000000,3,"West","Clementi",103.750211,1.312031
"Cell_S2082",1.000000,92.000000,4,"West","Dover Buona Vista Singapore Polytechnic",103.774130,1.304074
"Cell_S2083",1.000000,141.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.774099,1.301473
"Cell_S2084",1.000000,88.750000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.774099,1.301473
"Cell_S2085",1.000000,336.000000,1,"West","Clementi",103.754395,1.318088
"Cell_S2086",0.916667,54.166667,12,"West","Clementi",103.765432,1.296842
"Cell_S2087",1.000000,31.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.776715,1.294039
"Cell_S2088",1.000000,17.000000,1,"West","Clementi",103.765261,1.304763
"Cell_S2089",1.000000,143.000000,1,"West","Dover Buona Vista Singapore Polytechnic",103.787844,1.306620
"Cell_S209",0.857143,106.571429,7,"Central","Marina South",103.854971,1.279645
"Cell_S2090",1.000000,75.642857,14,"West","Pasir Panjang Alexandra Kent Ridge",103.800739,1.277727
"Cell_S2091",1.000000,29.500000,2,"West","Clementi",103.767290,1.309343
"Cell_S2092",1.000000,42.500000,2,"West","Clementi",103.761112,1.304835
"Cell_S2093",1.000000,112.200000,5,"West","Pasir Panjang Alexandra Kent Ridge",103.770853,1.299119
"Cell_S2094",1.000000,16.000000,2,"West","Dover Buona Vista Singapore Polytechnic",103.789869,1.303738
